,word,etymology
0,(i)nkōn,0
1,[NA],0
2,[interrupted],0
3,[loanword],0
4,[proper noun],0
5,[sic],0
6,abač,2
7,abaḍāy,2
8,abaḥ yībuḥ,2
9,abrem yabrem,2
10,abu,2
11,abən yabən,2
12,abət yabət,2
13,abət/apt yabət,2
14,abʕaḏ,1
15,abʕeḏ,1
16,abʕeḏ yabʕeḏ,1
17,abṣeṭ yabṣeṭ,2
18,afak yiffuk,2
19,afal yifful,2
20,afaz yiffuz,2
21,afaz yīfuz,2
22,afač yīfuč,2
23,afaš yīfuš,1
24,aff/affi yaff/yaffi,0
25,affeḳ yaffeḳ,1
26,afhem yafhem,2
27,afrež yafrež,2
28,afset yafset,2
29,afčel yafčel,2
30,afət/afti yafət/yafti,2
31,afəḓ yafəḓ,2
32,afəṭrūṯa,2
33,afʕel yafʕel,2
34,afḓal,2
35,afḳar yafḳar,1
36,afṭar yafṭar,2
37,ah/āh/eh,0
38,ahamm,2
39,ahat yihhut,2
40,ahaz/ihhaz yihhuz,2
41,ahaš yīhuš,2
42,ahhel yɁahhel,2
43,ahla,2
44,ahlek yahlek,2
45,ahlōyṯa,2
46,ahw/ahwi yahw/yahwi,2
47,ahər/ahri yahər/yahri,2
48,ahət/ahti yahət/yahti,2
49,akket yɁakket,2
50,akrah yakrah,2
51,akseb yakseb,2
52,akīd,2
53,akšef yakšef,2
54,akəlṯa,2
55,akṯar,2
56,akṯarīṯa,2
57,alaf yilluf,2
58,alam yillum,2
59,alam yīlum,2
60,alač yilluč,2
61,alaš yīluš,1
62,alaḥ yīluḥ,2
63,alaḳ yīluḳ,2
64,alhem yalhem,2
65,aliʕāzar,2
66,alkul,2
67,all-,1
68,allef yɁallef,1
69,allex yallex,1
70,almaʕ yalmaʕ,2
71,almānya,2
72,almās,0
73,almōnay,2
74,alōma,2
75,alūla,0
76,aləḳ yaləḳ,2
77,aləṭ yaləṭ,1
78,alʕan,2
79,alṭef yalṭef,2
80,amal yīmul,2
81,aman yīmun,2
82,amar yīmar,1
83,amat yimmut,2
84,amaṣ yimmuṣ,1
85,ameṯ yīmuṯ,1
86,amhel yamhel,2
87,amla,0
88,amlek yamlek,2
89,amma,0
90,ammen yɁammen,2
91,amra,2
92,amērka,0
93,amōna,2
94,amōnča,2
95,aməṭ/amṭi yaməṭ/yamṭi,1
96,amṣeṭ yamṣeṭ,1
97,ana,1
98,anaḥ,1
99,anaṭ yinnuṭ,2
100,anfaʕ yanfaʕ,2
101,anhar yanhar,1
102,anhi yanhi,2
103,ani/ana,2
104,anik,1
105,ann/anni yɁann/yɁanni,2
106,antem yantem,2
107,anu/ana,2
108,anw yanw,2
109,anšef yanšef,2
110,anžaḥ yanžaḥ,2
111,anʕem yanʕem,2
112,anʕen yanʕen,2
113,anḏar yanḏar,1
114,anḳeḏ yanḳeḏ,2
115,app(i) yapp(i),1
116,apšer yapšer,2
117,arat yirrut,2
118,araš yirruš,2
119,araž yirruž,2
120,araḥ yirruḥ,1
121,araḳ yirruḳ,1
122,arbaḥ yarbaḥ,2
123,argīlča,2
124,arhen yarhen,2
125,arheṭ  yarheṭ,1
126,arheṭ yarheṭ,1
127,arkeš yarkeš,1
128,armalča,1
129,armaġōna,0
130,arnaḥ yarnaḥ,1
131,arpaʕ,1
132,arpaʕčaʕṣar,0
133,arw yarw,2
134,arxeb yarxeb,1
135,arzal,2
136,arzeḳ yarzeḳ,2
137,arōmay,2
138,aršet yaršet,2
139,arək yarək,2
140,arənba,1
141,arəḳ yarəḳ,2
142,arəṣ yarəṣ,1
143,arʕa,1
144,arḥam,2
145,arḥel yarḥel,1
146,arḥem yarḥem,2
147,arḳet yarḳet,2
148,asab yissub,2
149,asab yīsub,1
150,asaf yissuf,2
151,asam yissum,1
152,asaḥ yīsuḥ,2
153,askar yaskar,2
154,aslem yaslem,2
155,asmaḥ yasmaḥ,2
156,asmaḥ/asmeḥ yasmaḥ/yasmeḥ,2
157,asnet yasnet,2
158,aspeʕ yaspeʕ,1
159,asseḳ yasseḳ,1
160,asōs/asās/asas,2
161,asəʕ/asʕi yasəʕ/yasʕi,2
162,asḳaʕ yasḳaʕ,0
163,atab/ittab yittub,2
164,atal yittul,2
165,atar,1
166,ataḳ yittuḳ,1
167,atrek yatrek,2
168,atər/atri yatər/yatri,2
169,atəʕ/atʕi yatəʕ/yatʕi,2
170,aw,1
171,awfaḳ,2
172,awheb yawheb,2
173,awkaʕ yawkaʕ,2
174,awpel yawpel,1
175,awpṯa,2
176,awrab,1
177,awrex yawrex,1
178,awwal,2
179,awwalnō,2
180,awwalča,2
181,awġ(i) yawġ,1
182,awōna,2
183,awəf yawəf,1
184,awəʕ yawəʕ,2
185,awʕeẓ yawʕeẓ,2
186,awḏaʕ yawḏaʕ,1
187,awḳef yawḳef,2
188,awṣef yawṣef,2
189,ax,1
190,ax/āx,1
191,axal yīxul,1
192,axan yīxun,2
193,axbeṯ yaxbeṯ,2
194,axerča,2
195,axfen yaxfen,1
196,axmar yaxmar,2
197,axsar yaxsar,2
198,axtem yaxtem,2
199,axxar yɁaxxar,2
200,axəf yaxəf,2
201,axərnō,2
202,axəṭ yaxəṭ,2
203,axṭar yaxṭar,2
204,aya/ayya,2
205,aylef yaylef,1
206,aylun/aylul,1
207,ayneḳ yayneḳ,1
208,ayy,0
209,ayya/ayyi/ayyu,2
210,ayyub,2
211,ayṭeb yayṭeb,1
212,ayṯ(i) yayṯ(i),1
213,azal yizzul,1
214,azač yizzuč,2
215,azaʕ yīzuʕ,1
216,azka,2
217,azkar yazker,2
218,azʕel yazʕel,2
219,ačab,2
220,ačab yīčub,2
221,ačah,2
222,ačneḥ yačneḥ,1
223,ačōča,2
224,ačʕeb yačʕeb,2
225,aġar yīġur,2
226,aġaṭ yiġġuṭ,2
227,aġla,2
228,aġleṭ yaġleṭ,2
229,aġm(i) yaġm(i),2
230,aġra,1
231,aġreḳ yaġreḳ,2
232,aġīra,1
233,aġīrča,1
234,aġəl yaġəl,2
235,aġən yaġən,2
236,aġəš/aġši yaġəš/yaġši,2
237,aġḓeb yaġḓeb,2
238,aġṣeb yaġṣeb,2
239,ašak yiššuk,2
240,ašam yiššum,2
241,ašan yiššun,1
242,ašbah,2
243,ašbaṭ,1
244,ašfeḳ yašfeḳ,2
245,aškar yaškar,2
246,ašpah yašpah,0
247,ašref yašref,2
248,aššar yɁaššar,2
249,ašəf yašəf,2
250,ašəḳ yašəḳ,1
251,ašḥen yašḥen,1
252,ašṭar,2
253,ažann,2
254,ažar yižžur,2
255,ažas yižžus,2
256,ažax yižžux,2
257,ažbar yažbar,2
258,ažles yažles,2
259,ažmal,2
260,ažmaʕ yažmaʕ,2
261,ažmet yažmet,2
262,ažra,2
263,ažōt-,0
264,ažžar yɁažžar,2
265,ažžel yɁažžel,2
266,ažəl yažəl,2
267,ažər yažər,2
268,ažʕel yažʕel,2
269,ažʕi/ažəʕ yažʕi/yažəʕ,2
270,aʕat yiʕʕut,2
271,aʕaz yiʕʕuz,2
272,aʕbet yaʕbet,2
273,aʕla,2
274,aʕlem yaʕlem,2
275,aʕlen yaʕlen,2
276,aʕleḳ yaʕleḳ,1
277,aʕtem yaʕtem,0
278,aʕzem yaʕzem,2
279,aʕžeb yaʕžeb,2
280,aʕəf yaʕəf,2
281,aʕən yaʕən,2
282,aʕər maʕər,0
283,aʕəṣ yaʕəṣ,1
284,aḏab yīḏub,1
285,aḏaḳ yīḏuḳ,2
286,aḏkar yaḏkar,1
287,aḏlef yaḏlef,1
288,aḏleḳ yaḏleḳ,1
289,aḏmex yaḏmex,1
290,aḏrex yaḏrex,1
291,aḏḏen yɁaḏḏen,2
292,aḓab yiḓḓub,2
293,aḓann,2
294,aḓar yiḓḓur,2
295,aḓaʕ yīḓaʕ,2
296,aḥal yiḥḥul,2
297,aḥal/yiḥḥul,2
298,aḥas yiḥḥus,2
299,aḥaz yiḥḥuz,2
300,aḥaž yiḥḥuž,2
301,aḥaṣ yīḥuṣ,1
302,aḥfeḓ/aḥfeẓ yaḥfeḓ/yaḥfeẓ,2
303,aḥkem yaḥkem,1
304,aḥla,2
305,aḥlem yaḥlem,1
306,aḥmet yaḥmet,1
307,aḥn yaḥn,1
308,aḥref,1
309,aḥref yaḥref,1
310,aḥrež yaḥrež,2
311,aḥsan,2
312,aḥset yaḥset,2
313,aḥw yaḥw,1
314,aḥšem yaḥšem,1
315,aḥək yaḥək,2
316,aḥəm yaḥəm,1
317,aḥəšmūṯa,1
318,aḥḓar yaḥḓar,2
319,aḥḥ yaḥḥ,1
320,aḥḥaḏ,1
321,aḥḥaḏaʕsar,1
322,aḥḥeč yaḥḥeč,1
323,aḥṣel yaḥṣel,2
324,aḳa(m) yīḳu(m),1
325,aḳal,2
326,aḳall,2
327,aḳat yiḳḳut,2
328,aḳaš yiḳḳuš,1
329,aḳaṣ yiḳḳuṣ,1
330,aḳbel yaḳbel,1
331,aḳreb yaḳreb,1
332,aḳreṣ yaḳreṣ,1
333,aḳreṭ yaḳreṭ,1
334,aḳset yaḳset,0
335,aḳtar yaḳtar,0
336,aḳw yaḳw,0
337,aḳwa,0
338,aḳərṭūṯa,0
339,aḳəʕ yaḳəʕ,0
340,aḳəḓ yaḳəḓ,0
341,aḳṣa,0
342,aḷō,0
343,aṣab yiṣṣub,0
344,aṣaf yiṣṣuf,0
345,aṣam yīṣum,0
346,aṣar yiṣṣur,0
347,aṣaḥḥ,0
348,aṣbaḥ yaṣbaḥ,0
349,aṣfen yaṣfen,0
350,aṣla,2
351,aṣlaḥ yaṣlaḥ,0
352,aṣpar yaṣpar,0
353,aṣpaḥ,0
354,aṣraḥ yaṣraḥ,0
355,aṣref yaṣref,0
356,aṣəf/aṣfi yaṣəf/yaṣfi,0
357,aṣəh/aṣhi yaṣəh/yaṣhi,0
358,aṣəx yaṣəx,0
359,aṣəḥ yaṣəḥ,0
360,aṣʕeb yaṣʕeb,0
361,aṣṭef yaṣṭef,0
362,aṭab yiṭṭub,0
363,aṭar yīṭar,0
364,aṭax yiṭṭux,0
365,aṭax yīṭax,0
366,aṭaž yiṭṭuž,0
367,aṭleḳ yaṭleḳ,0
368,aṭmaʕ yaṭmaʕ,0
369,aṭw yaṭw,0
370,aṭyab,0
371,aṭəġ yaṭəġ,0
372,aṭʕem yaṭʕem,0
373,aṯoḳča,0
374,aṯra,2
375,aṯən/aṯni yaṯən/yaṯni,0
376,aẓar yīẓur,0
377,aẓbeṭ yaẓbeṭ,0
378,aẓhar yaẓhar,0
379,b-,0
380,baba ḥasan,0
381,baba ḥasnūṯa,0
382,badōl,0
383,bahtel ybahtel,0
384,bakkar ybakkar,0
385,bakēt,0
386,balbalča,0
387,balk,0
388,balki,0
389,balleš yballeš,0
390,balleṭ yballeṭ,0
391,ballōr,0
392,ballōrča,0
393,balōš,0
394,balžaktōra,0
395,balḥōḏ,0
396,banadōra,0
397,banawb/bnōb/bnawbi,0
398,banža,0
399,barakāt,0
400,baranda,0
401,baraṣ,0
402,barbōra,0
403,barkīla,0
404,barmīla,0
405,barnaš/barš,0
406,barnōša,0
407,barra,0
408,barret,0
409,barriyya,0
410,barrād,0
411,barrōnay,0
412,barrōyṯ-,0
413,bartex ybartex,0
414,barōta,0
415,barš,0
416,barəmṯa,0
417,basīṭay baṣīṭay,0
418,basīṭay/baṣīṭay,0
419,batra,0
420,batt-,0
421,battel ybattel,0
422,batəlṯa,0
423,batərka,0
424,bawwež ybawwež,0
425,bawwōpča,0
426,baxxūra,0
427,baxča,0
428,baxʕa,0
429,baxʕōnay,0
430,baynṯ-,0
431,bayruč,0
432,bayyan ybayyan,0
433,bayyan/bayyen ybayyan/ybayyen,0
434,bayyen ybayyen,0
435,bayyen/bayyan  ybayyen/ybayyan,0
436,bayyeš ybayyeš,0
437,bayyōʕa,0
438,baġla,0
439,baššel ybaššel,0
440,baššer ybaššer,0
441,baʕdēn,0
442,baʕla,0
443,baʕʕeḏ,0
444,baʕʕeḏ ybaʕʕeḏ,0
445,baʕḓ,0
446,baʕḓ-,0
447,baʕḓa,0
448,baḥar,0
449,baḥleḳ ybaḥleḳ,0
450,baḥra,0
451,baḥərṯa,0
452,baḳḳar ybaḳḳar,0
453,baṣṣer,0
454,baṣṣṯa,0
455,baṣṭa,0
456,baṭrakōyṯa,0
457,baṭraxōnča,0
458,baṭəḥṯa,0
459,baṭṭel ybaṭṭel,0
460,baṭṭīxča,0
461,berkṯa,0
462,berča,0
463,besra,0
464,bess/bessi,0
465,besərṯa,0
466,bezra,0
467,bezza,0
468,beʕla,0
469,beʕṯa,0
470,beṣla,0
471,bhīmča,0
472,billa,0
473,bima,0
474,binišō,0
475,binōyṯa,0
476,bisnīṯa,0
477,bisčōna,0
478,bitōyṯa,0
479,bišōla,0
480,bižāma,0
481,bižūz,0
482,blastīk,0
483,blō,0
484,blōk,0
485,blōta,0
486,blōṭča,0
487,borəhṯa,0
488,boxša,0
489,boġta,0
490,boʕra,0
491,boʕḏa,0
492,boḥəšṯa,0
493,boṣərṯa,0
494,brōm,0
495,brōša,0
496,brōḳa,0
497,buntḳōyṯa,0
498,burnōyṯa,0
499,burtḳān,0
500,butt,0
501,buṭanžay,0
502,buṭros,0
503,buṭər rabbi,0
504,bzurōyṯa,0
505,bálatay,0
506,bárake,0
507,bāba,0
508,bādye,0
509,bē,0
510,bēl,0
511,bēla,0
512,bēlma,0
513,bēn,0
514,bīl,0
515,bīma,0
516,bīra,0
517,bīša,0
518,bōdra,0
519,bōla,0
