,word_form,lemma_id,word_root,citation_form,speaker_age,speaker_gender
1,ana,18,ɁnɁ,ana,26,M
2,ana,18,ɁnɁ,ana,26,M
3,ḥabīb,1377,ḥbb,ḥabīb,26,M
4,fransīs,1978,frnsys,fransīs,26,M
6,maʕlūla,241,ʕll,maʕlūla,26,M
7,bann,12,btt,batt-,26,M
8,naḥək,86,ḥky,aḥək yaḥək,26,M
9,ex,74,Ɂx,ex/ux,26,M
10,mišwill,10,šwy,išw/išwi yišw/yišwi,26,M
11,pšōṯa,1306,ybš,ebəšṯa,26,M
12,w,1,w,w,26,M
13,ex,74,Ɂx,ex/ux,26,M
14,mišwill,10,šwy,išw/išwi yišw/yišwi,26,M
15,tepsa,660,tps,tepsa,26,M
16,anaḥ,118,Ɂnḥ,anaḥ,26,M
17,hōxa,51,hwx,hōxa,26,M
19,blōta,36,blt,blōta,26,M
20,nmiʕčabrill,1546,ʕbr,iʕčbar yiʕčbar,26,M
21,ʕinbō,760,ʕnb,ʕenəpṯa,26,M
22,maṣtra,3311,ṣtr,maṣtra,26,M
23,raɁisō,853,rɁs,raɁīsa,26,M
25,blōta,36,blt,blōta,26,M
26,fa,1353,f,fa,26,M
27,bess,42,bss,bess/bessi,26,M
28,yiṯḳan,17,ṯḳn,iṯḳen yiṯḳan,26,M
29,aylul,1335,ayl,aylun/aylul,26,M
30,yiščawyan,1277,šwy,iščwi yiščwi,26,M
31,ʕinbō,760,ʕnb,ʕenəpṯa,26,M
32,ʕa,4,ʕly,ʕa/ʕal,26,M
33,maẓbuṭ,596,ẓbṭ,maẓbuṭ,26,M
34,tōr,1030,twr,tōr,26,M
35,batte,12,btt,batt-,26,M
36,yizlullun,8,Ɂzl,zalle yzelle,26,M
37,ʕa,4,ʕly,ʕa/ʕal,26,M
38,šṭōḥa,1492,šṭḥ,šṭōḥa,26,M
39,fa,1353,f,fa,26,M
41,waḳčlə,100,wḳč,waḳča,26,M
42,šṭōḥa,1492,šṭḥ,šṭōḥa,26,M
43,iḳḏum,200,ḳḏm,iḳḏum,26,M
45,yōma,26,ywm,yōma,26,M
46,atar,65,twr,atar,26,M
47,mžahhzill,558,žhz,žahhez yžahhez,26,M
48,xōla,156,Ɂxl,xōla,26,M
49,w,1,w,w,26,M
50,mžahhzill,558,žhz,žahhez yžahhez,26,M
51,zwōḏa,699,zwḏ,zwōḏa,26,M
52,w,1,w,w,26,M
53,mžahhziṣṣ,558,žhz,žahhez yžahhez,26,M
54,ṣafwṯa,2239,ṣfy,ṣafwṯa,26,M
55,w,1,w,w,26,M
57,ḳaṭma,1228,ḳṭm,ḳaṭma,26,M
58,w,1,w,w,26,M
59,aspillun,155,Ɂsb/Ɂsp,asab yīsub,26,M
60,ʕa,4,ʕly,ʕa/ʕal,26,M
61,xarmō,399,xrm,xarma,26,M
62,ṯēn,125,ṯny,ṯēn/ṯēni,26,M
63,yōma,26,ywm,yōma,26,M
64,zlillun,8,Ɂzl,zalle yzelle,26,M
66,ʕṣofra,158,ʕṣfr,ʕṣofra,26,M
67,ḳaṭfill,1420,ḳṭf,iḳṭaf yiḳṭuf,26,M
68,ʕinbō,760,ʕnb,ʕenəpṯa,26,M
