,word_form,lemma_id,word_root,citation_form
1,ana,18,ɁnɁ,ana
2,ana,18,ɁnɁ,ana
3,ḥabīb,1377,ḥbb,ḥabīb
4,fransīs,1978,frnsys,fransīs
6,maʕlūla,241,ʕll,maʕlūla
7,bann,12,btt,batt-
8,naḥək,86,ḥky,aḥək yaḥək
9,ex,74,Ɂx,ex/ux
10,mišwill,10,šwy,išw/išwi yišw/yišwi
11,pšōṯa,1306,ybš,ebəšṯa
12,w,1,w,w
13,ex,74,Ɂx,ex/ux
14,mišwill,10,šwy,išw/išwi yišw/yišwi
15,tepsa,660,tps,tepsa
16,anaḥ,118,Ɂnḥ,anaḥ
17,hōxa,51,hwx,hōxa
19,blōta,36,blt,blōta
20,nmiʕčabrill,1546,ʕbr,iʕčbar yiʕčbar
21,ʕinbō,760,ʕnb,ʕenəpṯa
22,maṣtra,3311,ṣtr,maṣtra
23,raɁisō,853,rɁs,raɁīsa
25,blōta,36,blt,blōta
26,fa,1353,f,fa
27,bess,42,bss,bess/bessi
28,yiṯḳan,17,ṯḳn,iṯḳen yiṯḳan
29,aylul,1335,ayl,aylun/aylul
30,yiščawyan,1277,šwy,iščwi yiščwi
31,ʕinbō,760,ʕnb,ʕenəpṯa
32,ʕa,4,ʕly,ʕa/ʕal
33,maẓbuṭ,596,ẓbṭ,maẓbuṭ
34,tōr,1030,twr,tōr
35,batte,12,btt,batt-
36,yizlullun,8,Ɂzl,zalle yzelle
37,ʕa,4,ʕly,ʕa/ʕal
38,šṭōḥa,1492,šṭḥ,šṭōḥa
39,fa,1353,f,fa
41,waḳčlə,100,wḳč,waḳča
42,šṭōḥa,1492,šṭḥ,šṭōḥa
43,iḳḏum,200,ḳḏm,iḳḏum
45,yōma,26,ywm,yōma
46,atar,65,twr,atar
47,mžahhzill,558,žhz,žahhez yžahhez
48,xōla,156,Ɂxl,xōla
49,w,1,w,w
50,mžahhzill,558,žhz,žahhez yžahhez
51,zwōḏa,699,zwḏ,zwōḏa
52,w,1,w,w
53,mžahhziṣṣ,558,žhz,žahhez yžahhez
54,ṣafwṯa,2239,ṣfy,ṣafwṯa
55,w,1,w,w
57,ḳaṭma,1228,ḳṭm,ḳaṭma
58,w,1,w,w
59,aspillun,155,Ɂsb/Ɂsp,asab yīsub
60,ʕa,4,ʕly,ʕa/ʕal
61,xarmō,399,xrm,xarma
62,ṯēn,125,ṯny,ṯēn/ṯēni
63,yōma,26,ywm,yōma
64,zlillun,8,Ɂzl,zalle yzelle
66,ʕṣofra,158,ʕṣfr,ʕṣofra
